pageviews	time_on_page	stories	comments	ratings	newsletters	nationality	manipulation_level	visitor_session_id
1	15	0	0	0	NA	Costa Rica	all	2811
9	929.0	0	0	0	NA	Estados Unidos	local	2812
1	15	0	0	0	NA	México	all	2813
8	69.0	0	0	0	NA	Guatemala	all	2815
26	2986.0	1	0	0	NA	México	all	2817
26	1412.0	0	0	0	NA	Estados Unidos	local	2818
19	495.0	0	0	5	NA	México	local	2819
2	175.0	0	0	0	NA	México	local	2821
1	15	0	0	0	NA	México	all	2822
3	14.0	0	0	0	NA	México	all	2823
3	320.0	0	1	0	NA	Colombia	all	2824
26	1382.0	0	0	0	NA	Perú	all	2825
2	67.0	0	0	0	NA	Venezuela	local	2826
2	268.0	0	0	0	NA	México	local	2827
33	2482.0	0	1	0	NA	Estados Unidos	local	2828
1	15	0	0	0	NA	México	all	2829
1	15	0	0	0	NA	México	all	2830
1	15	0	0	0	NA	Brasil	local	2831
1	15	0	0	0	NA	China	local	2832
12	2267.0	0	0	0	NA	México	local	2833
1	15	0	0	0	NA	El Salvador	all	2837
1	15	0	0	0	NA	España	all	2838
5	206.0	0	0	0	NA	Argentina	local	2839
2	38.0	0	0	0	NA	Turquía	all	2840
1	15	0	0	0	NA	España	all	2841
1	15	0	0	0	NA	El Salvador	all	2842
6	93.0	0	0	0	NA	España	local	2843
1	15	0	0	0	NA	Perú	all	2844
2	32.0	0	0	0	NA	Colombia	local	2845
1	15	0	0	0	NA	México	all	2847
1	15	0	0	0	NA	Argentina	all	2848
1	15	0	0	0	NA	Perú	all	2851
6	397.0	0	0	0	NA	Perú	all	2852
1	15	0	0	0	NA	Colombia	local	2853
6	1205.0	0	1	0	NA	México	local	2854
3	44.0	0	0	1	NA	Colombia	all	2855
1	15	0	0	0	NA	Argentina	local	2857
1	15	0	0	0	NA	Argentina	local	2858
2	135.0	0	0	1	NA	Colombia	local	2860
1	15	0	0	0	NA	Argentina	all	2861
1	15	0	0	0	NA	Argentina	all	2862
3	222.0	0	0	1	NA	Colombia	all	2863
3	294.0	0	0	1	NA	México	all	2864
4	232.0	0	0	0	NA	Ecuador	local	2866
1	15	0	0	0	NA	México	local	2867
11	596.0	0	0	0	NA	Perú	all	2868
58	3855.0	0	0	1	NA	Costa Rica	all	2869
5	453.0	0	0	0	NA	Argentina	all	2870
1	15	0	0	0	NA	Colombia	local	2871
1	15	0	0	0	NA	México	all	2872
1	15	0	0	0	NA	España	all	2873
4	210.0	0	0	0	NA	Colombia	all	2875
4	50.0	0	0	2	NA	Uruguay	all	2876
2	55.0	0	0	0	NA	México	all	2877
5	55.0	0	0	0	NA	Colombia	local	2879
1	15	0	0	0	NA	Argentina	local	2880
1	15	0	0	0	NA	Colombia	local	2881
1	15	0	0	0	NA	México	all	2883
1	15	0	0	0	NA	México	all	2884
3	29.0	0	0	0	NA	México	all	2886
1	15	0	0	0	NA	República Dominicana	all	2887
17	666.0	0	0	1	NA	Estados Unidos	all	2888
4	300.0	0	0	0	NA	Perú	all	2889
10	543.0	0	0	2	NA	España	local	2891
1	15	0	0	0	NA	Perú	all	2892
3	195.0	0	0	0	NA	Bolivia	all	2897
28	1246.0	0	0	0	NA	México	all	2901
1	15	0	0	0	NA	Perú	all	2902
2	42.0	0	0	0	NA	Venezuela	all	2903
48	5490.0	0	0	0	NA	México	local	2904
1	15	0	0	0	NA	Bolivia	all	2905
2	11.0	0	0	1	NA	Perú	all	2906
5	222.0	0	0	0	NA	Argentina	all	2907
1	15	0	0	0	NA	España	local	2908
4	34.0	0	0	0	NA	Perú	all	2909
1	15	0	0	0	NA	Chile	local	2910
1	15	0	0	0	NA	Perú	all	2911
1	15	0	0	0	NA	República Dominicana	local	2913
2	102.0	0	0	0	NA	Ecuador	local	2914
1	15	0	0	0	NA	México	all	2915
14	480.0	0	0	0	NA	México	all	2917
7	544.0	0	2	0	NA	Venezuela	all	2920
2	10.0	0	0	0	NA	Venezuela	local	2921
2	8.0	0	0	0	NA	México	local	2922
1	15	0	0	0	NA	Estados Unidos	local	2923
1	15	0	0	0	NA	Chile	local	2924
1	15	0	0	0	NA	México	local	2925
27	1756.0	1	4	5	NA	México	local	2926
2	87.0	0	0	0	NA	Colombia	all	2929
1	15	0	0	0	NA	Colombia	local	2930
1	15	0	0	0	NA	México	local	2933
1	15	0	0	0	NA	México	local	2934
1	15	0	0	0	NA	Colombia	local	2935
1	15	0	0	0	NA	Estados Unidos	all	2936
1	15	0	0	0	NA	Colombia	local	2937
38	2954.0	1	2	1	NA	El Salvador	all	2938
14	722.0	0	0	1	NA	Perú	local	2939
1	15	0	0	0	NA	Bolivia	all	2940
3	13.0	0	0	0	NA	Perú	local	2942
1	15	0	0	0	NA	Argentina	all	2943
7	210.0	0	0	0	NA	Argentina	all	2944
12	216.0	0	0	0	NA	México	all	2946
1	15	0	0	0	NA	España	all	2947
1	15	0	0	0	NA	España	local	2948
1	15	0	0	0	NA	Bolivia	local	2949
1	15	0	0	0	NA	Colombia	all	2950
1	15	0	0	0	NA	Ecuador	local	2951
7	411.0	0	0	0	NA	México	all	2952
1	15	0	0	0	NA	Colombia	all	2953
9	399.0	0	0	1	NA	Colombia	local	2955
13	769.0	0	1	0	NA	Ecuador	local	2958
1	15	0	0	0	NA	Perú	local	2959
2	319.0	0	0	0	NA	Nicaragua	local	2960
1	15	0	0	0	NA	México	local	2961
18	2370.0	1	2	1	NA	México	local	2963
1	15	0	0	0	NA	España	local	2964
8	291.0	0	0	4	NA	México	all	2966
5	637.0	0	0	0	NA	Bolivia	local	2967
1	15	0	0	0	NA	Colombia	local	2968
1	15	0	0	0	NA	Perú	all	2969
1	15	0	0	0	NA	México	all	2970
2	14.0	0	0	0	NA	Colombia	all	2972
1	15	0	0	0	NA	Colombia	local	2973
1	15	0	0	0	NA	Colombia	all	2974
1	15	0	0	0	NA	México	all	2975
1	15	0	0	0	NA	Colombia	all	2976
26	1815.0	0	0	0	NA	México	all	2977
12	670.0	0	0	1	NA	España	all	2978
2	93.0	0	0	1	NA	Ecuador	all	2979
1	15	0	0	0	NA	España	all	2981
3	20.0	0	0	0	NA	Argentina	all	2982
3	113.0	0	0	0	NA	Bolivia	local	2983
1	15	0	0	0	NA	Ecuador	local	2984
3	53.0	0	0	2	NA	Venezuela	local	2985
1	15	0	0	0	NA	Chile	local	2986
1	15	0	0	0	NA	España	all	2987
1	15	0	0	0	NA	México	all	2988
4	1020.0	0	1	0	NA	Bolivia	local	2990
12	1051.0	1	1	0	NA	Bolivia	local	2991
2	39.0	0	0	1	NA	México	all	2992
1	15	0	0	0	NA	México	local	2993
1	15	0	0	0	NA	México	all	2994
2	86.0	0	0	0	NA	España	all	2996
1	15	0	0	0	NA	Colombia	all	2997
1	15	0	0	0	NA	Perú	all	2998
14	466.0	0	1	0	NA	México	all	2999
1	15	0	0	0	NA	México	all	3000
1	15	0	0	0	NA	Perú	local	3002
1	15	0	0	0	NA	Colombia	all	3003
3	205.0	0	0	0	NA	Perú	all	3006
5	511.0	0	0	0	NA	Perú	all	3007
